0xff811ab0,wrapped_malloc
0xff812834,exmem_alloc
0xff812e74,printclock_FW
0xff812f78,StopClockSaver_FW
0xff812f94,SetLClk72MHz_FW
0xff812fa4,SetLClk36MHz_FW
0xff812fb4,SetLClk18MHz_FW
0xff81306c,SetHClk72MHz_FW
0xff8130b0,SetHClk36MHz_FW
0xff8130d8,SetHClk18MHz_FW
0xff81311c,SetMClk72MHz_FW
0xff813128,SetMClk36MHz_FW
0xff813134,SetMClk18MHz_FW
0xff813d70,DebugAssert
0xff8143f8,LocalTime
0xff814b78,GetTimeOfSystem_FW
0xff814ea0,AllocateUncacheableMemory
0xff814ed4,FreeUncacheableMemory
0xff8150d8,_GetSystemTime
0xff81522c,SetTimerAfter
0xff8152c8,SetTimerWhen
0xff815340,CancelTimer
0xff815b28,SetHPTimerAfterNow
0xff815bb4,SetHPTimerAfterTimeout
0xff815f9c,CancelHPTimer
0xff816c30,RegisterEventProcedure_FW
0xff816d3c,ExecuteEventProcedure
0xff816d3c,ExecuteEventProcedure_FW
0xff8176a4,ExportToEventProcedure_FW
0xff8176bc,CreateProxyOfEventProcedure_FW
0xff817744,DeleteProxyOfEventProcedure_FW
0xff81817c,LogCameraEvent
0xff81824c,PutsCameraLogEvent_FW
0xff818354,ShowCameraLogInfo_FW
0xff8183f8,ShowCameraLog_FW
0xff8186d8,StopCameraLog_FW
0xff81a4f8,StartWDT_FW
0xff81a574,StopWDT_FW
0xff81a6e8,GetBuildDate_FW
0xff81a700,GetBuildTime_FW
0xff81a724,GetFirmwareVersion_FW
0xff81a80c,RomCheckSum_FW
0xff81a8a0,CheckSumAll_FW
0xff81aa48,SystemEventDelete_FW
0xff81ab48,Dump32_FW
0xff81ac5c,FreeMemory
0xff81ac5c,FreeMemory_FW
0xff81ac70,AllocateMemory
0xff81ac70,AllocateMemory_FW
0xff81ac80,Wait_FW
0xff81ac94,Poke32_FW
0xff81acb8,Poke16_FW
0xff81acdc,Poke8_FW
0xff81ad00,Peek32_FW
0xff81ad1c,Peek16_FW
0xff81ad38,Peek8_FW
0xff81ad54,EraseSignature_FW
0xff81ad84,GetSystemTime_FW
0xff81ada4,MonSelEvent_FW
0xff81addc,exec_FW
0xff81b7f8,RotateConsoleZOder_FW
0xff81b8a0,CPrintf_FW
0xff81b904,CPutChar_FW
0xff81b938,GetCh_FW
0xff81b99c,GetStringWithPrompt_FW
0xff81ba20,OpenConsole_FW
0xff81bb6c,CloseConsole_FW
0xff8206cc,StartUARTRedirect_FW
0xff8206e4,StopUARTRedirect_FW
0xff8207c0,CreateEventFlag
0xff8208cc,DeleteEventFlag
0xff820a6c,CheckAnyEventFlag
0xff820a7c,CheckAllEventFlag
0xff820b1c,WaitForEventFlag
0xff820cc0,WaitForAnyEventFlag
0xff820cd0,WaitForAllEventFlag
0xff820ce0,SetEventFlag
0xff820e7c,ClearEventFlag
0xff820ecc,GetEventFlagValue
0xff821004,RegisterInterruptHandler
0xff821028,UnregisterInterruptHandler
0xff821040,GetSRAndDisableInterrupt
0xff82104c,SetSR
0xff82106c,EnableInterrupt
0xff8210ac,CreateMessageQueue
0xff8211fc,DeleteMessageQueue
0xff8213f8,ReceiveMessageQueue
0xff82166c,TryReceiveMessageQueue
0xff821810,PostMessageQueue
0xff821a38,TryPostMessageQueue
0xff821b64,GetNumberOfPostedMessages
0xff821be4,CreateBinarySemaphore
0xff821ccc,CreateCountingSemaphore
0xff821ccc,CreateCountingSemaphore_FW
0xff821dd8,DeleteSemaphore
0xff821dd8,DeleteSemaphore_FW
0xff821fa4,TakeSemaphore
0xff821fa4,TakeSemaphore_FW
0xff822128,TryTakeSemaphore
