0x006befb4,_dadd
0x006bf948,_dcmp
0x006bfba0,_dcmp_reverse
0x006bf28c,_ddiv
0x006bf758,_dfix
0x006bf808,_dfixu
0x006bf890,_dflt
0x006bf93c,_dfltu
0x006bd0bc,_divmod_signed_int
0x006bd554,_divmod_unsigned_int
0x006bf9d0,_dmul
0x006bfc40,_drsb
0x006bfdcc,_dsub
0x006c0150,_f2d
0x006c02d4,_fdiv
0x006c04b8,_ffix
0x006c052c,_ffixu
0x006c058c,_fflt
0x006c05c0,_ffltu
0x006c05c8,_fmul
0xff825fbc,_GetSystemTime
0x006bd900,_log
0x006bde40,_log10
0x006bdfb8,_pow
0x006bef68,_safe_sqrt
0x006c0ac8,_scalbn
0x006bfc58,_sqrt
0xff824a9c,_uartr_req
0xff9630c8,AbortAEIntegralValue_FW
0x006b8840,AcquireRecursiveLock
0x006b7d78,AcquireRecursiveLockStrictly
0xff9652cc,ActivateAdjLog_FW
0xff910f0c,ActivateImager_FW
0xff910fa4,ActivateImagerXOne_FW
0xffa62388,add_ptp_handler
0xff9afd78,add_ui_to_dialog
0xff99dbb8,AdditionAgentRAM_FW
0xffa98fc8,AddTransparentMemory_FW
0xffb65e4c,AdjAEWithAperturePriority_FW
0xffb65df4,AfAEWithAperturePriority_FW
0xffb65ffc,AfAEWithCompensation_FW
0xff90d884,AFTool.GetEVal_FW
0xffacb30c,AllocateMemory
0xffacb30c,AllocateMemory_FW
0xff825dec,AllocateUncacheableMemory
0xffa17a4c,apex2us
0xff836ca4,atol_FW
0xff963ecc,AttachIntegCrawData_FW
0xffa99000,AttachToTransparentMemory_FW
0xffb3ef90,Bat_Calc_FW
0xffb67718,Bat_Save_FW
0xffb67704,Bat_VIN_FW
0xff8667e8,BeepDrive_FW
0xff866808,BeepDriveComp_FW
0xffb64dbc,CalcLog10
0xffb64df8,CalcLog10_FW
0xffb67730,CalcLowBatteryOffsetValue_FW
0xffb64ee8,CalcSqrt_FW
0xffb3ef90,CalculateBatSenseOffset_FW
0xffb6c964,CalculateInterpolationByLS_FW
0xffb64d98,CalculateLog2ToApex_FW
0xffb64d70,CalculatePeakFromLeastSquareResult_FW
0xffb6c90c,CalculatePeakPosByLS_FW
0xffb64dac,CalculatePow2FromApex_FW
0xff8784f8,CalculateTestRecYUVData_FW
0xffb65c2c,CancelAdj_AEMode_FW
0xffb69d8c,CancelAdjCdsMode_FW
0xffb6b36c,CancelBPFilterForBP_FW
0xffb654f4,CancelExStrobeMode_FW
0xffac5c14,CancelFocusLensMaxSpeedLimit_FW
0xff895df0,CancelHPTimer
0xffb641bc,CancelImageDrive_FW
0xff911174,CancelImager_FW
0xff8261c4,CancelTimer
0xff991770,Capture.Create_FW
0xffb641dc,CaptureWithParam_FW
0xffa97848,ChangeAdjImgDrvMode_FW
0xffa97874,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa3b54c,ChangeDefectRecParam_FW
0xffb674c4,ChangeDistortionSetForLiveImage_FW
0xffb674d4,ChangeElectronicRollISSetting_FW
0xffac5dfc,ChangeFocusDistanceToPosition_FW
0xffb64224,ChangeImageDrive_FW
0xff9111f0,ChangeImagerToAlternateDraft_FW
0xff9111b0,ChangeImagerToCombiParallel_FW
0xff9111e8,ChangeImagerToDigiconMode_FW
0xff911260,ChangeImagerToElectraGlide_FW
0xff911248,ChangeImagerToFalconJump_FW
0xff911228,ChangeImagerToFantaJungle_FW
0xff9111c0,ChangeImagerToFocusJet_FW
0xff911218,ChangeImagerToHarleyDavidson_FW
0xff911288,ChangeImagerToHarleyDavidsonNepal_FW
0xff911278,ChangeImagerToHarleySunshine_FW
0xff911258,ChangeImagerToHealthyVegetable_FW
0xff9111d8,ChangeImagerToHoneyFlash_FW
0xff911230,ChangeImagerToHoneyFlashDark_FW
0xff911240,ChangeImagerToLCWideDraft_FW
0xff911220,ChangeImagerToMachDashV_FW
0xff9111c8,ChangeImagerToMangoPudding_FW
0xff9111e0,ChangeImagerToMillefeAdjust_FW
0xff911208,ChangeImagerToMontblancMillefe_FW
0xff911210,ChangeImagerToMontblancMovie_FW
0xff911200,ChangeImagerToMontblancWhole_FW
0xff9111e8,ChangeImagerToOITA_XAVIER_FW
0xff911238,ChangeImagerToRoadKing_FW
0xff911290,ChangeImagerToRoadKingNepal_FW
0xff911280,ChangeImagerToRoadQueen_FW
0xff911250,ChangeImagerToSpriteSunshine_FW
0xff9111d0,ChangeImagerToSuperWideDraft_FW
0xff911298,ChangeImagerToSuperWideNepal_FW
0xff9111f8,ChangeImagerToUltraGhostQ_FW
0xff911270,ChangeImagerToVeryFastMangoPudding_FW
0xff911268,ChangeImagerToVeryFastWideDraft_FW
0xff911198,ChangeImagerToWholeParallel_FW
0xff9111a0,ChangeImagerToWholeParallelBP_FW
0xff9111b8,ChangeImagerToWideDraft_FW
0xff9111a8,ChangeImagerToWideDraftFinancier_FW
0xffac63bc,ChangeIrisSpeed_FW
0xffac6ec4,ChangeZoomLensMagnificationToPoint_FW
0xffac6eb4,ChangeZoomLensPointToMagnification_FW
0xffb65544,ChargeStrobe_FW
0xffb6557c,ChargeStrobeForFA_FW
0x006b7fd8,CheckAllEventFlag
0x006b7f7c,CheckAnyEventFlag
0xff897bb8,CheckSumAll_FW
0xffa3b728,ClearDefectTurnTable_FW
0xff82c68c,ClearDUIDFixFlag_FW
0xff82c60c,ClearDurianMode_FW
0x006b8234,ClearEventFlag
0xff82c7d8,ClearFactoryMasterFlag_FW
0xff82c7f0,ClearFactoryMasterROMProtection_FW
0xff82c60c,ClearFactoryMode_FW
0xffb860f8,ClearPMByFs_FW
0xffb860e0,ClearPMByGpio_FW
0xffa97ad4,ClearSoundDevForRecEvent_FW
0xff82c248,ClearWLANFactoryMode_FW
0xffa98b80,ClearZoomCommonDriveParam_FW
0xffa982e0,ClearZoomDriveParam_FW
0xff827170,Close
0xff823ee4,close
0xff827170,Close_FW
0xff898914,CloseConsole_FW
0xffaaa668,closedir
0xffac6844,CloseMechaShutter_FW
0xffac688c,CloseMechaShutterWithTiming_FW
0xffb68624,CloseMShutter_FW
0xffa977e0,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa97794,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb64e50,ConvertApexStdToApex_FW
0xffb64e20,ConvertApexToApexStd_FW
0xffb65404,ConvertCxCyToWBGain_FW
0xffb69e40,ConvertToPositionWithDistance_FW
0xffb69e24,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb642d8,ConvertTvToExposureTime_FW
0xff898674,CPrintf_FW
0xff8986cc,CPutChar_FW
0xff8722c0,CreateAdjustmentTableMirror_FW
0x006b784c,CreateBinarySemaphore
0x006b7c24,CreateBinarySemaphoreStrictly
0xff89ac54,CreateController_FW
0x006b78d0,CreateCountingSemaphore
0x006b78d0,CreateCountingSemaphore_FW
0x006b7c4c,CreateCountingSemaphoreStrictly
0xff8722d0,CreateDefectTableMirror_FW
0xff9ab29c,CreateDialogBox
0x006b7eb4,CreateEventFlag
0x006b7bfc,CreateEventFlagStrictly
0xff964c00,CreateFADBGSingalID_FW
0xffb686d8,CreateJumptable
0x006b8304,CreateMessageQueue
0x006b7bd4,CreateMessageQueueStrictly
0xff833e08,CreateProxyOfEventProcedure_FW
0x006b8780,CreateRecursiveLock
0x006b7c74,CreateRecursiveLockStrictly
0x006b562c,CreateTask
0x006b562c,CreateTask_FW
0x006b7b9c,CreateTaskStrictly
0xff872ce0,CreateUserSettingMirror_FW
0xffa3a960,CrossDefDetect_FW
0xffa3aaa4,CrossPickUpDetect_FW
0xffa3acf4,CrowdLineDetect_FW
0xffa3ae6c,CrowdLineKizuCheck_FW
0xff89aed8,CtrlMan_ChangeZOrder_FW
0xff883c34,CzDebugPrint_FW
0xff883c48,CzDebugPrintToFile_FW
0xff820234,dcache_clean_flush_and_disable
0xff820300,dcache_clean_flush_range
0xff8202a0,dcache_clean_range
0xff82020c,dcache_flush_and_enable
0xff820284,dcache_flush_range
0x006b59c0,DebugAssert
0xff89ad34,DeleteController_FW
