0x006d8964,_dadd
0x006d92f8,_dcmp
0x006d9550,_dcmp_reverse
0x006d8c3c,_ddiv
0x006d9108,_dfix
0x006d91b8,_dfixu
0x006d9240,_dflt
0x006d92ec,_dfltu
0x006d4d28,_divmod_signed_int
0x006d6344,_divmod_unsigned_int
0x006d9380,_dmul
0x006d95f0,_drsb
0x006d977c,_dsub
0x006d9b00,_f2d
0x006d9c84,_fdiv
0x006d9e68,_ffix
0x006d9edc,_ffixu
0x006d9f3c,_fflt
0x006d9f70,_ffltu
0x006d9ff0,_fmul
0xff0060d8,_GetSystemTime
0x006d7138,_log
0x006d7678,_log10
0x006d77f0,_pow
0x006d87a0,_safe_sqrt
0x006da4f0,_scalbn
0x006d9608,_sqrt
0xff004bb4,_uartr_req
0xff195f84,AbortAEIntegralValue_FW
0x006b8830,AcquireRecursiveLock
0x006b7e48,AcquireRecursiveLockStrictly
0xff19855c,ActivateAdjLog_FW
0xff11bad0,ActivateImager_FW
0xff11bb68,ActivateImagerXOne_FW
0xff3706d4,ActivateISMD_FW
0xff132204,add_ptp_handler
0xff1f57b8,add_ui_to_dialog
0xff1e2a80,AdditionAgentRAM_FW
0xff32c4d8,AddTransparentMemory_FW
0xff44af68,AdjAEWithAperturePriority_FW
0xff44af10,AfAEWithAperturePriority_FW
0xff44b118,AfAEWithCompensation_FW
0xff2dd1a8,AFTool.GetEVal_FW
0xff37537c,AllocateMemory
0xff37537c,AllocateMemory_FW
0xff005f08,AllocateUncacheableMemory
0xff2a7800,apex2us
0xff018038,atol_FW
0xff196e04,AttachIntegCrawData_FW
0xff32c510,AttachToTransparentMemory_FW
0xff436dd4,Bat_Calc_FW
0xff44c880,Bat_Save_FW
0xff44c86c,Bat_VIN_FW
0xff04c2cc,BeepDrive_FW
0xff04c2ec,BeepDriveComp_FW
0xff446a24,CalcLog10
0xff446a60,CalcLog10_FW
0xff44fb40,CalcLoopGain_FW
0xff44c898,CalcLowBatteryOffsetValue_FW
0xff446b50,CalcSqrt_FW
0xff436dd4,CalculateBatSenseOffset_FW
0xff449ed4,CalculateInterpolationByLS_FW
0xff446a00,CalculateLog2ToApex_FW
0xff4469d8,CalculatePeakFromLeastSquareResult_FW
0xff449e7c,CalculatePeakPosByLS_FW
0xff446a14,CalculatePow2FromApex_FW
0xff05f628,CalculateTestRecYUVData_FW
0xff44ad48,CancelAdj_AEMode_FW
0xff4452b0,CancelAdjCdsMode_FW
0xff448864,CancelBPFilterForBP_FW
0xff44a610,CancelExStrobeMode_FW
0xff36e47c,CancelFocusLensMaxSpeedLimit_FW
0xff082604,CancelHPTimer
0xff445c88,CancelImageDrive_FW
0xff11bd3c,CancelImager_FW
0xff44fe0c,CancelLoopGainCalc_FW
0xff0062e0,CancelTimer
0xff1d7f9c,Capture.Create_FW
0xff445ca8,CaptureWithParam_FW
0xff301018,CecRegDump_FW
0xff170868,CecRxViewParameter_FW
0xff16f9fc,CecViewParameter_FW
0xff32ae64,ChangeAdjImgDrvMode_FW
0xff32ae90,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff2c9760,ChangeDefectRecParam_FW
0xff44c5f8,ChangeDistortionSetForLiveImage_FW
0xff44f9f4,ChangeFilterMode_FW
0xff36e668,ChangeFocusDistanceToPosition_FW
0xff445cf0,ChangeImageDrive_FW
0xff11bdb8,ChangeImagerToAlternateDraft_FW
0xff11bd78,ChangeImagerToCombiParallel_FW
0xff11bdb0,ChangeImagerToDigiconMode_FW
0xff11be28,ChangeImagerToElectraGlide_FW
0xff11be10,ChangeImagerToFalconJump_FW
0xff11bdf0,ChangeImagerToFantaJungle_FW
0xff11bd88,ChangeImagerToFocusJet_FW
0xff11bde0,ChangeImagerToHarleyDavidson_FW
0xff11be20,ChangeImagerToHealthyVegetable_FW
0xff11bda0,ChangeImagerToHoneyFlash_FW
0xff11bdf8,ChangeImagerToHoneyFlashDark_FW
0xff11bde8,ChangeImagerToMachDashV_FW
0xff11bd90,ChangeImagerToMangoPudding_FW
0xff11bda8,ChangeImagerToMillefeAdjust_FW
0xff11bdd0,ChangeImagerToMontblancMillefe_FW
0xff11bdd8,ChangeImagerToMontblancMovie_FW
0xff11bdc8,ChangeImagerToMontblancWhole_FW
0xff11bdb0,ChangeImagerToOITA_XAVIER_FW
0xff11be00,ChangeImagerToRoadKing_FW
0xff11be18,ChangeImagerToSpriteSunshine_FW
0xff11bd98,ChangeImagerToSuperWideDraft_FW
0xff11bdc0,ChangeImagerToUltraGhostQ_FW
0xff11bd60,ChangeImagerToWholeParallel_FW
0xff11bd68,ChangeImagerToWholeParallelBP_FW
